County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Multnomah,VILLAGE FREE SCHOOL,FULL SCHOOL GRADES K-12,53,34,64%,34,64%,36,68%,33,62%,32,60%,34,64%,49,30,61%,29,55%,23,43%,19,36%,18,34%,17,32%,20,38%,20,38%,20,38%,19,36%,19,39%,15,28%,0,0%,1,2%,0
Multnomah,Walt Morey MS,FULL SCHOOL GRADES K-12,587,559,95%,565,96%,569,97%,568,97%,564,96%,568,97%,587,562,96%,553,94%,29,5%,25,4%,20,3%,17,3%,22,4%,18,3%,18,3%,18,3%,22,4%,16,3%,1,0%,0,0%,0
Multnomah,West Gresham ES,FULL SCHOOL GRADES K-12,286,274,96%,276,97%,275,96%,276,97%,274,96%,276,97%,286,275,96%,269,94%,11,4%,8,3%,7,2%,9,3%,8,3%,7,2%,7,2%,7,2%,8,3%,6,2%,2,1%,0,0%,0
Multnomah,WEST HILLS CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,347,326,94%,325,94%,327,94%,329,95%,320,92%,309,89%,347,324,93%,301,87%,42,12%,21,6%,22,6%,20,6%,26,7%,18,5%,18,5%,38,11%,23,7%,16,5%,0,0%,0,0%,0
Multnomah,WEST HILLS MONTESSORI SCHOOL,FULL SCHOOL GRADES K-12,79,77,97%,75,95%,76,96%,77,97%,75,95%,73,92%,79,76,96%,73,92%,6,8%,2,3%,4,5%,3,4%,4,5%,2,3%,2,3%,6,8%,3,4%,0,0%,0,0%,0,0%,0
Multnomah,West Orient MS,FULL SCHOOL GRADES K-12,463,446,96%,453,98%,455,98%,456,98%,451,97%,456,98%,463,452,98%,443,96%,17,4%,17,4%,10,2%,8,2%,11,2%,7,2%,7,2%,7,2%,9,2%,7,2%,0,0%,1,0%,0
Multnomah,West Powellhurst ES,FULL SCHOOL GRADES K-12,390,368,94%,368,94%,372,95%,374,96%,367,94%,374,96%,390,368,94%,364,93%,25,6%,21,5%,21,5%,18,5%,23,6%,16,4%,16,4%,16,4%,22,6%,13,3%,0,0%,0,0%,0
Multnomah,West Sylvan MS,FULL SCHOOL GRADES K-12,820,796,97%,800,98%,807,98%,808,99%,801,98%,798,97%,820,795,97%,776,95%,33,4%,19,2%,17,2%,12,1%,15,2%,10,1%,9,1%,21,3%,17,2%,6,1%,1,0%,3,0%,5
Multnomah,White Shield School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multnomah,Whitman ES,FULL SCHOOL GRADES K-12,231,215,93%,216,94%,222,96%,220,95%,217,94%,222,96%,231,218,94%,213,92%,14,6%,14,6%,12,5%,9,4%,13,6%,11,5%,11,5%,8,3%,12,5%,8,3%,0,0%,0,0%,1
Multnomah,WHOLE CHILD MONTESSORI CENTER INC,FULL SCHOOL GRADES K-12,13,13,100%,13,100%,11,85%,13,100%,12,92%,12,92%,13,13,100%,11,85%,2,15%,0,0%,0,0%,2,15%,1,8%,0,0%,0,0%,1,8%,0,0%,0,0%,0,0%,0,0%,0
Multnomah,WILDFLOWERS,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multnomah,Wilkes ES,FULL SCHOOL GRADES K-12,484,473,98%,473,98%,478,99%,478,99%,474,98%,476,98%,484,468,97%,464,96%,12,2%,11,2%,10,2%,6,1%,10,2%,6,1%,6,1%,8,2%,8,2%,6,1%,0,0%,0,0%,0
Multnomah,Wilson High School,FULL SCHOOL GRADES K-12,"1,489","1,421",95%,"1,433",96%,"1,442",97%,"1,449",97%,"1,436",96%,"1,430",96%,790,757,96%,"1,400",94%,83,6%,62,4%,50,3%,42,3%,8,1%,35,2%,35,2%,54,4%,30,4%,8,1%,5,0%,1,0%,15
Multnomah,Winterhaven K-8,FULL SCHOOL GRADES K-12,315,294,93%,294,93%,296,94%,302,96%,295,94%,275,87%,315,287,91%,271,86%,42,13%,20,6%,21,7%,19,6%,20,6%,13,4%,13,4%,38,12%,26,8%,8,3%,0,0%,0,0%,0
Multnomah,Woodland Elementary,FULL SCHOOL GRADES K-12,452,432,96%,432,96%,437,97%,437,97%,432,96%,435,96%,452,430,95%,426,94%,21,5%,18,4%,19,4%,15,3%,20,4%,15,3%,15,3%,17,4%,17,4%,14,3%,0,0%,0,0%,0
Multnomah,Woodlawn PK-8,FULL SCHOOL GRADES K-12,330,311,94%,309,94%,318,96%,322,98%,315,95%,308,93%,330,309,94%,304,92%,20,6%,15,5%,17,5%,11,3%,12,4%,7,2%,7,2%,17,5%,14,4%,7,2%,1,0%,0,0%,0
Multnomah,Woodmere E.S.,FULL SCHOOL GRADES K-12,293,278,95%,279,95%,287,98%,289,99%,282,96%,281,96%,293,279,95%,270,92%,12,4%,8,3%,7,2%,6,2%,8,3%,4,1%,4,1%,8,3%,9,3%,4,1%,0,0%,0,0%,0
Multnomah,Woodstock Elementary,FULL SCHOOL GRADES K-12,547,525,96%,524,96%,522,95%,526,96%,519,95%,516,94%,547,518,95%,506,93%,34,6%,20,4%,22,4%,24,4%,26,5%,20,4%,20,4%,29,5%,24,4%,16,3%,0,0%,1,0%,0
Multnomah,Wynne Watts School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multnomah,Youth Progress Association,FULL SCHOOL GRADES K-12,11,8,73%,10,91%,10,91%,11,100%,10,91%,10,91%,<10,,,8,73%,1,9%,1,9%,1,9%,1,9%,0,0%,0,0%,0,0%,1,9%,,,0,0%,0,0%,0,0%,0
Polk,Ash Creek Elementary,FULL SCHOOL GRADES K-12,552,542,98%,543,98%,545,99%,546,99%,545,99%,544,99%,552,542,98%,540,98%,11,2%,10,2%,9,2%,7,1%,7,1%,6,1%,6,1%,8,1%,8,1%,5,1%,0,0%,0,0%,0
Polk,Brush College Elementary,FULL SCHOOL GRADES K-12,282,265,94%,263,93%,271,96%,269,95%,268,95%,271,96%,282,264,94%,261,93%,18,6%,14,5%,16,6%,11,4%,14,5%,13,5%,13,5%,11,4%,16,6%,9,3%,0,0%,0,0%,0
Polk,Central High School,FULL SCHOOL GRADES K-12,958,941,98%,943,98%,946,99%,948,99%,943,98%,944,99%,507,498,98%,937,98%,20,2%,16,2%,15,2%,12,1%,15,2%,10,1%,10,1%,14,1%,9,2%,4,0%,0,0%,1,0%,0
Polk,Chapman Hill,FULL SCHOOL GRADES K-12,384,370,96%,369,96%,369,96%,369,96%,369,96%,369,96%,384,365,95%,361,94%,19,5%,13,3%,14,4%,14,4%,14,4%,12,3%,12,3%,15,4%,17,4%,12,3%,0,0%,1,0%,0
Polk,Dallas Community School,FULL SCHOOL GRADES K-12,195,90,46%,113,58%,105,54%,96,49%,91,47%,113,58%,195,98,50%,83,43%,111,57%,97,50%,82,42%,90,46%,105,54%,99,51%,99,51%,82,42%,97,50%,74,38%,0,0%,1,1%,0
Polk,Dallas High School,FULL SCHOOL GRADES K-12,884,852,96%,876,99%,875,99%,863,98%,863,98%,872,99%,458,438,96%,843,95%,30,3%,24,3%,6,1%,6,1%,18,2%,18,2%,18,2%,10,1%,13,3%,4,0%,0,0%,1,0%,0
Polk,Eola Hills Charter School,FULL SCHOOL GRADES K-12,35,35,100%,35,100%,35,100%,35,100%,35,100%,35,100%,11,11,100%,35,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1
Polk,Faith Christian School,FULL SCHOOL GRADES K-12,178,169,95%,170,96%,170,96%,167,94%,167,94%,162,91%,144,130,90%,160,90%,17,10%,9,5%,13,7%,11,6%,11,6%,11,6%,11,6%,15,8%,16,11%,8,4%,0,0%,1,1%,0
Polk,Falls City Elementary,FULL SCHOOL GRADES K-12,113,99,88%,101,89%,104,92%,104,92%,103,91%,103,91%,113,99,88%,95,84%,12,11%,12,11%,10,9%,9,8%,10,9%,9,8%,9,8%,9,8%,10,9%,9,8%,0,0%,0,0%,0
Polk,Falls City High School,FULL SCHOOL GRADES K-12,76,70,92%,70,92%,70,92%,70,92%,70,92%,70,92%,37,32,86%,70,92%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,6,8%,5,14%,6,8%,0,0%,0,0%,0
Polk,Grace Christian Preschool & Kindergarten,FULL SCHOOL GRADES K-12,18,16,89%,16,89%,15,83%,15,83%,15,83%,15,83%,18,15,83%,15,83%,3,17%,2,11%,2,11%,3,17%,3,17%,3,17%,3,17%,3,17%,3,17%,2,11%,0,0%,0,0%,0
Polk,Harritt Elementary,FULL SCHOOL GRADES K-12,499,482,97%,481,96%,489,98%,487,98%,485,97%,484,97%,499,480,96%,473,95%,18,4%,14,3%,16,3%,10,2%,13,3%,12,2%,12,2%,15,3%,15,3%,9,2%,0,0%,0,0%,0
Polk,Independence Elementary School,FULL SCHOOL GRADES K-12,385,377,98%,378,98%,381,99%,381,99%,379,98%,378,98%,385,378,98%,377,98%,7,2%,5,1%,7,2%,4,1%,6,2%,4,1%,4,1%,7,2%,7,2%,4,1%,0,0%,1,0%,0
Polk,Kalapuya Elementary,FULL SCHOOL GRADES K-12,571,548,96%,552,97%,555,97%,555,97%,552,97%,554,97%,571,546,96%,542,95%,23,4%,20,4%,18,3%,16,3%,19,3%,16,3%,16,3%,17,3%,22,4%,14,2%,0,0%,0,0%,0
Polk,LaCreole Middle School,FULL SCHOOL GRADES K-12,705,662,94%,682,97%,684,97%,675,96%,673,95%,686,97%,705,671,95%,651,92%,43,6%,39,6%,20,3%,19,3%,29,4%,29,4%,29,4%,17,2%,27,4%,13,2%,0,0%,1,0%,0
Polk,LVC-Luckiamute Valley Charter School - Bridgeport,FULL SCHOOL GRADES K-12,137,119,87%,124,91%,121,88%,119,87%,119,87%,123,90%,137,119,87%,119,87%,18,13%,18,13%,13,9%,16,12%,18,13%,18,13%,18,13%,14,10%,18,13%,11,8%,0,0%,0,0%,0
Polk,LVC-Luckiamute Valley Charter School Pedee Campus,FULL SCHOOL GRADES K-12,51,44,86%,49,96%,50,98%,47,92%,46,90%,50,98%,51,49,96%,44,86%,7,14%,7,14%,2,4%,1,2%,4,8%,4,8%,4,8%,1,2%,2,4%,1,2%,0,0%,0,0%,0
Polk,Lyle Elementary School,FULL SCHOOL GRADES K-12,414,399,96%,406,98%,409,99%,404,98%,404,98%,407,98%,414,400,97%,395,95%,11,3%,10,2%,5,1%,5,1%,10,2%,10,2%,10,2%,4,1%,10,2%,4,1%,0,0%,0,0%,0
Polk,MCACS (Morrison Charter School),FULL SCHOOL GRADES K-12,69,66,96%,68,99%,68,99%,66,96%,66,96%,66,96%,<10,,,65,94%,2,3%,1,1%,0,0%,0,0%,1,1%,1,1%,1,1%,2,3%,,,0,0%,1,1%,1,1%,0
Polk,Mid Valley Christian Academy,FULL SCHOOL GRADES K-12,54,41,76%,41,76%,38,70%,41,76%,41,76%,40,74%,53,40,75%,37,69%,16,30%,13,24%,13,24%,16,30%,13,24%,13,24%,13,24%,13,24%,13,25%,13,24%,0,0%,1,2%,0
Polk,Monmouth Elementary School,FULL SCHOOL GRADES K-12,540,529,98%,529,98%,531,98%,533,99%,529,98%,530,98%,540,530,98%,527,98%,13,2%,11,2%,11,2%,9,2%,11,2%,7,1%,7,1%,10,2%,10,2%,6,1%,0,0%,0,0%,0
Polk,Monmouth Montessori School LLC,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk,Myers Elementary,FULL SCHOOL GRADES K-12,533,514,96%,513,96%,519,97%,519,97%,513,96%,516,97%,533,514,96%,509,95%,23,4%,18,3%,20,4%,14,3%,20,4%,14,3%,14,3%,17,3%,18,3%,13,2%,0,0%,0,0%,0
Polk,Oakdale Heights,FULL SCHOOL GRADES K-12,396,378,95%,384,97%,389,98%,386,97%,382,96%,386,97%,396,372,94%,368,93%,18,5%,15,4%,11,3%,7,2%,14,4%,11,3%,11,3%,9,2%,15,4%,5,1%,0,0%,1,0%,0
Polk,Perrydale Elementary,FULL SCHOOL GRADES K-12,144,131,91%,134,93%,136,94%,132,92%,130,90%,135,94%,144,133,92%,129,90%,11,8%,11,8%,8,6%,7,5%,11,8%,10,7%,10,7%,7,5%,9,6%,5,3%,0,0%,1,1%,0
Polk,Perrydale MS/HS,FULL SCHOOL GRADES K-12,165,153,93%,162,98%,161,98%,162,98%,161,98%,162,98%,121,118,98%,150,91%,11,7%,11,7%,4,2%,3,2%,4,2%,3,2%,3,2%,4,2%,4,3%,3,2%,0,0%,0,0%,0
Polk,Polk Adolescent Day Treatment Center,FULL SCHOOL GRADES K-12,18,17,94%,17,94%,17,94%,17,94%,17,94%,17,94%,16,15,94%,17,94%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Polk,Riviera Christian School & Daycare,FULL SCHOOL GRADES K-12,92,92,100%,92,100%,92,100%,92,100%,92,100%,92,100%,92,92,100%,92,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Polk,Straub Middle School,FULL SCHOOL GRADES K-12,651,621,95%,627,96%,630,97%,633,97%,625,96%,635,98%,651,626,96%,615,94%,36,6%,30,5%,24,4%,21,3%,26,4%,18,3%,18,3%,16,2%,25,4%,13,2%,0,0%,0,0%,0
Polk,Talmadge Middle School,FULL SCHOOL GRADES K-12,786,773,98%,778,99%,780,99%,780,99%,779,99%,781,99%,786,778,99%,773,98%,11,1%,11,1%,8,1%,6,1%,7,1%,6,1%,6,1%,5,1%,8,1%,5,1%,0,0%,1,0%,0
Polk,Walker Middle School,FULL SCHOOL GRADES K-12,675,651,96%,653,97%,659,98%,658,97%,655,97%,658,97%,675,655,97%,649,96%,25,4%,23,3%,22,3%,16,2%,20,3%,17,3%,17,3%,17,3%,20,3%,15,2%,0,0%,1,0%,0
Polk,West Salem High School,FULL SCHOOL GRADES K-12,"1,616","1,547",96%,"1,574",97%,"1,579",98%,"1,583",98%,"1,568",97%,"1,581",98%,839,801,95%,"1,530",95%,67,4%,57,4%,36,2%,31,2%,38,2%,26,2%,26,2%,29,2%,31,4%,24,1%,4,0%,7,0%,1
Polk,Western Christian School,FULL SCHOOL GRADES K-12,175,160,91%,162,93%,162,93%,164,94%,160,91%,163,93%,113,102,90%,154,88%,18,10%,14,8%,14,8%,11,6%,13,7%,10,6%,10,6%,12,7%,10,9%,10,6%,0,0%,1,1%,0
Polk,Whitworth Elementary,FULL SCHOOL GRADES K-12,432,418,97%,422,98%,422,98%,420,97%,420,97%,423,98%,432,420,97%,417,97%,14,3%,13,3%,9,2%,9,2%,11,3%,11,3%,11,3%,8,2%,11,3%,7,2%,0,0%,1,0%,0
Tillamook,East Elementary,FULL SCHOOL GRADES K-12,549,530,97%,531,97%,533,97%,534,97%,531,97%,532,97%,549,530,97%,524,95%,20,4%,17,3%,15,3%,14,3%,16,3%,16,3%,15,3%,15,3%,14,3%,11,2%,0,0%,1,0%,0
Tillamook,Fire Mountain School,FULL SCHOOL GRADES K-12,19,10,53%,10,53%,10,53%,10,53%,10,53%,10,53%,19,7,37%,10,53%,9,47%,9,47%,9,47%,9,47%,9,47%,9,47%,9,47%,9,47%,9,47%,9,47%,0,0%,0,0%,0
Tillamook,Garibaldi Grade School,FULL SCHOOL GRADES K-12,163,154,94%,155,95%,156,96%,159,98%,155,95%,156,96%,163,154,94%,151,93%,11,7%,9,6%,8,5%,6,4%,8,5%,4,2%,4,2%,7,4%,9,6%,4,2%,0,0%,1,1%,0
Tillamook,Liberty Elementary,FULL SCHOOL GRADES K-12,325,311,96%,311,96%,321,99%,319,98%,319,98%,317,98%,325,311,96%,305,94%,10,3%,8,2%,7,2%,3,1%,5,2%,3,1%,3,1%,5,2%,6,2%,3,1%,0,0%,0,0%,0
Tillamook,Neahkahnie High School,FULL SCHOOL GRADES K-12,213,198,93%,202,95%,204,96%,201,94%,200,94%,202,95%,107,102,95%,194,91%,15,7%,14,7%,11,5%,9,4%,11,5%,11,5%,11,5%,11,5%,4,4%,8,4%,0,0%,2,1%,0
Tillamook,Neahkahnie Middle School,FULL SCHOOL GRADES K-12,216,207,96%,210,97%,212,98%,212,98%,210,97%,212,98%,216,209,97%,205,95%,8,4%,7,3%,6,3%,4,2%,6,3%,4,2%,4,2%,4,2%,6,3%,4,2%,0,0%,0,0%,0
Tillamook,Nehalem Elementary,FULL SCHOOL GRADES K-12,193,177,92%,175,91%,178,92%,184,95%,178,92%,176,91%,193,175,91%,170,88%,18,9%,12,6%,16,8%,14,7%,14,7%,8,4%,8,4%,15,8%,14,7%,7,4%,0,0%,0,0%,0
Tillamook,NESKOWIN VALLEY SCHOOL,FULL SCHOOL GRADES K-12,50,38,76%,36,72%,36,72%,39,78%,39,78%,36,72%,50,36,72%,33,66%,16,32%,11,22%,12,24%,13,26%,10,20%,10,20%,10,20%,13,26%,13,26%,10,20%,0,0%,1,2%,0
Tillamook,Nestucca Middle/High School,FULL SCHOOL GRADES K-12,230,225,98%,227,99%,228,99%,228,99%,227,99%,227,99%,155,153,99%,225,98%,5,2%,5,2%,3,1%,2,1%,3,1%,2,1%,2,1%,2,1%,0,0%,2,1%,0,0%,0,0%,0
Tillamook,Nestucca Valley Elementary School,FULL SCHOOL GRADES K-12,255,243,95%,243,95%,245,96%,246,96%,245,96%,246,96%,255,242,95%,240,94%,11,4%,11,4%,11,4%,9,4%,10,4%,9,4%,9,4%,9,4%,11,4%,9,4%,0,0%,1,0%,0
Tillamook,Ocean Breeze School,FULL SCHOOL GRADES K-12,36,28,78%,30,83%,30,83%,32,89%,32,89%,33,92%,34,26,76%,25,69%,11,31%,8,22%,8,22%,11,31%,9,25%,9,25%,9,25%,10,28%,7,21%,6,17%,0,0%,0,0%,0
Tillamook,Pacific Christian School,FULL SCHOOL GRADES K-12,21,21,100%,21,100%,21,100%,21,100%,21,100%,21,100%,21,21,100%,21,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Tillamook,South Prairie Elementary School,FULL SCHOOL GRADES K-12,326,316,97%,315,97%,318,98%,320,98%,317,97%,316,97%,326,311,95%,309,95%,9,3%,6,2%,7,2%,5,2%,6,2%,3,1%,3,1%,7,2%,7,2%,3,1%,0,0%,0,0%,0
Tillamook,Tillamook Adventist School,FULL SCHOOL GRADES K-12,61,56,92%,56,92%,56,92%,56,92%,56,92%,54,89%,61,56,92%,54,89%,7,11%,5,8%,5,8%,5,8%,5,8%,5,8%,5,8%,7,11%,5,8%,5,8%,0,0%,0,0%,0
Tillamook,Tillamook High School,FULL SCHOOL GRADES K-12,667,652,98%,657,99%,660,99%,662,99%,659,99%,660,99%,357,346,97%,647,97%,12,2%,10,1%,7,1%,5,1%,6,1%,4,1%,4,1%,5,1%,6,2%,3,0%,1,0%,0,0%,0
Tillamook,Tillamook Junior High School,FULL SCHOOL GRADES K-12,362,351,97%,351,97%,351,97%,352,97%,351,97%,351,97%,362,344,95%,344,95%,12,3%,11,3%,11,3%,9,2%,10,3%,10,3%,10,3%,9,2%,12,3%,8,2%,0,0%,0,0%,0
Tillamook,Trask River High School,FULL SCHOOL GRADES K-12,37,37,100%,37,100%,37,100%,37,100%,37,100%,37,100%,<10,,,37,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Umatilla,Armand Larive Middle School,FULL SCHOOL GRADES K-12,777,764,98%,774,100%,777,100%,777,100%,774,100%,775,100%,777,774,100%,762,98%,10,1%,10,1%,3,0%,0,0%,3,0%,0,0%,0,0%,1,0%,2,0%,0,0%,0,0%,2,0%,0
Umatilla,Athena Elementary,FULL SCHOOL GRADES K-12,152,143,94%,143,94%,149,98%,150,99%,145,95%,147,97%,152,144,95%,142,93%,6,4%,6,4%,6,4%,3,2%,5,3%,2,1%,2,1%,4,3%,4,3%,2,1%,0,0%,1,1%,0
Umatilla,Blue Mountain Mennonite School,FULL SCHOOL GRADES K-12,40,24,60%,27,68%,31,78%,25,63%,25,63%,22,55%,39,18,46%,15,38%,24,60%,13,33%,12,30%,9,23%,14,35%,14,35%,14,35%,18,45%,20,51%,6,15%,0,0%,0,0%,0
Umatilla,Central Middle School,FULL SCHOOL GRADES K-12,400,373,93%,395,99%,395,99%,395,99%,395,99%,396,99%,400,394,99%,369,92%,4,1%,4,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,0,0%,0,0%,0
Umatilla,Clara Brownell Middle School,FULL SCHOOL GRADES K-12,344,341,99%,341,99%,341,99%,341,99%,341,99%,341,99%,344,341,99%,341,99%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,0,0%,0,0%,0
Umatilla,Desert View Elementary,FULL SCHOOL GRADES K-12,581,569,98%,569,98%,572,98%,573,99%,567,98%,572,98%,581,570,98%,565,97%,13,2%,9,2%,10,2%,9,2%,12,2%,7,1%,7,1%,9,2%,10,2%,7,1%,0,0%,1,0%,0
Umatilla,Echo Elementary and High School,FULL SCHOOL GRADES K-12,274,262,96%,264,96%,264,96%,264,96%,263,96%,264,96%,238,226,95%,257,94%,9,3%,8,3%,8,3%,8,3%,9,3%,8,3%,8,3%,7,3%,8,3%,7,3%,1,0%,2,1%,0
Umatilla,Freewater Elementary,FULL SCHOOL GRADES K-12,272,269,99%,269,99%,268,99%,268,99%,267,98%,268,99%,272,268,99%,266,98%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,3,1%,0,0%,0,0%,0
Umatilla,Gib Olinger Elementary School,FULL SCHOOL GRADES K-12,529,521,98%,521,98%,521,98%,520,98%,520,98%,521,98%,529,517,98%,516,98%,7,1%,7,1%,7,1%,7,1%,7,1%,7,1%,7,1%,7,1%,7,1%,7,1%,1,0%,0,0%,0
Umatilla,Harris Junior Academy,FULL SCHOOL GRADES K-12,34,33,97%,33,97%,33,97%,34,100%,33,97%,33,97%,34,33,97%,33,97%,1,3%,1,3%,1,3%,1,3%,0,0%,0,0%,0,0%,1,3%,1,3%,0,0%,0,0%,0,0%,0
Umatilla,Hawthorne School,FULL SCHOOL GRADES K-12,46,45,98%,46,100%,46,100%,46,100%,44,96%,46,100%,16,16,100%,44,96%,1,2%,1,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Umatilla,Helix School District,FULL SCHOOL GRADES K-12,185,179,97%,179,97%,178,96%,179,97%,179,97%,178,96%,161,155,96%,177,96%,8,4%,6,3%,6,3%,7,4%,6,3%,6,3%,6,3%,7,4%,7,4%,5,3%,0,0%,0,0%,0
Umatilla,Hermiston Christian School,FULL SCHOOL GRADES K-12,52,52,100%,52,100%,52,100%,52,100%,52,100%,52,100%,52,52,100%,52,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Umatilla,Hermiston High School,FULL SCHOOL GRADES K-12,"1,570","1,546",98%,"1,557",99%,"1,557",99%,"1,566",100%,"1,559",99%,"1,565",100%,832,820,99%,"1,529",97%,19,1%,16,1%,6,0%,3,0%,9,1%,3,0%,3,0%,3,0%,8,1%,1,0%,0,0%,10,1%,0
Umatilla,Hermiston Junior Academy,FULL SCHOOL GRADES K-12,32,31,97%,30,94%,31,97%,31,97%,31,97%,30,94%,32,31,97%,30,94%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,0,0%,0,0%,0
Umatilla,Highland Hills Elementary,FULL SCHOOL GRADES K-12,473,451,95%,451,95%,466,99%,466,99%,463,98%,456,96%,473,449,95%,441,93%,8,2%,8,2%,8,2%,7,1%,8,2%,7,1%,7,1%,7,1%,8,2%,6,1%,0,0%,0,0%,0
Umatilla,Homestead Youth,FULL SCHOOL GRADES K-12,22,22,100%,22,100%,22,100%,22,100%,22,100%,22,100%,<10,,,22,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Umatilla,Lifeways Day Treatment Program,FULL SCHOOL GRADES K-12,11,11,100%,11,100%,11,100%,11,100%,11,100%,11,100%,11,11,100%,11,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Umatilla,LIGHTHOUSE CHRISTIAN ACADEMY,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umatilla,McKay Creek Elementary,FULL SCHOOL GRADES K-12,268,263,98%,264,99%,263,98%,261,97%,261,97%,264,99%,268,264,99%,260,97%,8,3%,5,2%,4,1%,5,2%,7,3%,7,3%,7,3%,4,1%,4,1%,4,1%,0,0%,0,0%,0
Umatilla,McLoughlin High School,FULL SCHOOL GRADES K-12,514,508,99%,510,99%,502,98%,510,99%,510,99%,510,99%,253,247,98%,497,97%,2,0%,1,0%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,1,0%,0,0%,2,0%,0,0%,0
Umatilla,McNary Heights Elementary,FULL SCHOOL GRADES K-12,634,627,99%,627,99%,628,99%,627,99%,627,99%,628,99%,634,627,99%,626,99%,7,1%,7,1%,7,1%,6,1%,7,1%,7,1%,7,1%,6,1%,6,1%,6,1%,0,0%,0,0%,0
Umatilla,Milton-Stateline SDA School,FULL SCHOOL GRADES K-12,69,64,93%,64,93%,62,90%,64,93%,64,93%,64,93%,69,64,93%,62,90%,7,10%,5,7%,5,7%,7,10%,5,7%,5,7%,5,7%,5,7%,5,7%,5,7%,0,0%,0,0%,0
Umatilla,Nixyaawii Community School,FULL SCHOOL GRADES K-12,79,76,96%,79,100%,79,100%,79,100%,76,96%,79,100%,41,41,100%,76,96%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Umatilla,Pendleton Early Learning Center,FULL SCHOOL GRADES K-12,252,240,95%,244,97%,246,98%,246,98%,242,96%,246,98%,252,238,94%,232,92%,9,4%,7,3%,4,2%,6,2%,7,3%,7,3%,7,3%,4,2%,5,2%,4,2%,0,0%,0,0%,0
